Adjective,Frequency
white,12975
young,12857
black,12133
blue,11156
red,10056
green,5142
little,4592
small,3677
dark,1794
long,1658
old,1605
big,821
bright,766
short,559
tall,487
beautiful,476
wet,347
hot,256
happy,217
dirty,215
heavy,185
kind,179
muddy,177
cold,172
curly,172
dry,153
clean,127
fast,115
warm,106
strange,89
pretty,88
fancy,80
fluffy,79
furry,78
broken,77
rainy,76
thin,75
calm,71
messy,66
skinny,64
cute,62
silly,61
modern,60
cool,57
dusty,56
wild,51
shiny,50
sad,49
blurry,48
fat,43
thick,42
sharp,39
soft,34
angry,32
quiet,31
hairy,19
elegant,18
scary,18
strong,16
sweet,15
proud,15
famous,14
lonely,14
sleepy,13
quick,13
slow,13
windy,13
loud,13
handsome,10
smart,10
brave,10
hungry,9
tasty,9
nervous,7
gentle,6
ugly,5
shy,4
graceful,4
mysterious,4
lucky,3
weak,3
jolly,2
lazy,2
sticky,2
rich,2
polite,2
noisy,1
wise,1
harsh,1
horrible,1
helpful,1
